Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 01/01  11:00:00,1.03716314170342,7.14661237456288,0.000000000000000E+000,6.13376714152543,0.164234513002959,0.164234513002959,0.164234513002959,0.105285332551039,2.181393011881013E-002,0.395793165817765,0.334688187934444,0.989790636296409 
 01/01  12:00:00,1.00770220953819,5.25511567963826,0.000000000000000E+000,4.36427000120337,0.116855391103550,0.116855391103550,0.116855391103550,0.105285332551039,2.181393011881013E-002,0.413608816278677,0.334790727207709,0.867784018398284 
 01/01  13:00:00,0.958810097416256,4.06699694856679,0.000000000000000E+000,3.26996865492208,8.755495557376371E-002,8.755495557376371E-002,8.755495557376371E-002,0.105285332551039,2.181393011881013E-002,0.399656799716067,0.329151067178176,0.774355114864455 
 01/01  14:00:00,0.915705873700107,3.40235114543593,0.000000000000000E+000,2.66249522497195,7.128956749688836E-002,7.128956749688836E-002,7.128956749688836E-002,0.105285332551039,2.181393011881013E-002,0.361436104744461,0.340532926510507,0.716398715875425 
 01/01  15:00:00,0.907474306073750,3.18357108514980,0.000000000000000E+000,2.49713057425722,6.686185085042901E-002,6.686185085042901E-002,6.686185085042901E-002,0.110826626018020,2.296203770497546E-002,0.331768008611008,0.359707770610917,0.661662470032416 
 01/01  16:00:00,0.975693617678153,3.43829217218998,0.000000000000000E+000,2.74445141740763,7.348398326809152E-002,7.348398326809152E-002,7.348398326809152E-002,0.138533299719761,2.870253287892793E-002,0.339922860635529,0.379702928897442,0.667685371285986 
 01/01  17:00:00,1.22682193941192,4.19577171921372,0.000000000000000E+000,3.42689624860572,9.175676603227882E-002,9.175676603227882E-002,9.175676603227882E-002,0.232735907758947,4.822026207769880E-002,0.389638974367272,0.449122016897326,0.737938236010650 
 01/01  18:00:00,1.69856067589537,5.97220343127639,0.000000000000000E+000,5.05698266946859,0.135403100056066,0.135403100056066,0.135403100056066,0.432223917138118,8.955192139527980E-002,0.480422251988538,0.545611473038965,0.877636966078914 
 01/01  19:00:00,1.95846135904568,5.24583825567147,0.000000000000000E+000,4.18947901768659,0.112175279943014,0.112175279943014,0.112175279943014,0.642794513451249,0.133179781632900,0.432594366092666,0.592369381647454,1.01555457947596 
 01/01  20:00:00,1.90866127917558,5.17585511945159,0.000000000000000E+000,4.08882851441675,0.109480315167433,0.109480315167433,0.109480315167433,0.681583842875899,0.141216491979183,0.349590930400065,0.611441686474602,1.04490817354989 
 01/01  21:00:00,1.78678556134519,5.46401931763085,0.000000000000000E+000,4.45052225210456,0.119164835869764,0.119164835869764,0.119164835869764,0.587381166047768,0.121698762780412,0.310730546875078,0.632462237493769,0.969930658449453 
 01/01  22:00:00,1.65322292290537,5.79984923148756,0.000000000000000E+000,4.88765834377405,0.130869361241345,0.130869361241345,0.130869361241345,0.493178558008581,0.102181033581641,0.293949375651685,0.617696582143720,0.869641595198797 
 01/01  23:00:00,1.37591413615077,6.11847329727883,0.000000000000000E+000,5.36545346946754,0.143662551457552,0.143662551457552,0.143662551457552,0.371269276267653,7.692280920891813E-002,0.234174255411816,0.534537231526429,0.716198868003986 
 01/01  24:00:00,1.09547259326110,6.42047325020491,0.000000000000000E+000,5.84310730918383,0.156451958674972,0.156451958674972,0.156451958674972,0.254901287993707,5.281267817006874E-002,0.151455748256992,0.464502907886960,0.545369212088187 
 01/02  01:00:00,0.814282844323840,6.64485412030788,0.000000000000000E+000,6.26709716414169,0.167804487347895,0.167804487347895,0.167804487347895,0.132991937463835,2.755443954505400E-002,8.636931076758889E-002,0.384214656921069,0.351290787664739 
 01/02  02:00:00,0.716287112922707,7.07471888904928,0.000000000000000E+000,6.77066354378161,0.181287715063687,0.181287715063687,0.181287715063687,7.757865884929742E-002,1.607342069256627E-002,7.223881327716383E-002,0.353760492761593,0.279686975550557 
 01/02  03:00:00,0.682698254822347,7.42067759630147,0.000000000000000E+000,7.13644483726591,0.191081682003561,0.191081682003561,0.191081682003561,5.541331988790434E-002,1.148101600202945E-002,5.971530281942931E-002,0.349658921831025,0.260146921141272 
 01/02  04:00:00,0.672265810711454,7.48548752962948,0.000000000000000E+000,7.19596480944416,0.192675357377780,0.192675357377780,0.192675357377780,5.541331988790434E-002,1.148101600202945E-002,5.261106845099969E-002,0.344737036714339,0.265775920478384 
 01/02  05:00:00,0.674631529759520,7.72292883288998,0.000000000000000E+000,7.37700796383918,0.197522873367308,0.197522873367308,0.197522873367308,5.541331988790434E-002,1.148101600202945E-002,6.315175921409334E-002,0.331714549009782,0.323071107881291 
 01/02  06:00:00,0.738510914923556,8.44621535406727,0.000000000000000E+000,7.84748960232277,0.210120241508344,0.210120241508344,0.210120241508344,5.541331988790434E-002,1.148101600202945E-002,7.598154876300982E-002,0.370166776483870,0.573227254736154 
 01/02  07:00:00,0.948090636243138,9.33991370656063,0.000000000000000E+000,8.27011382436282,0.221436204714724,0.221436204714724,0.221436204714724,0.127450643996854,2.640633195888867E-002,0.129758134509170,0.427691308785101,1.04033887637459 
 01/02  08:00:00,1.21520920219497,8.99129231357793,0.000000000000000E+000,7.79062522277297,0.208597670881339,0.208597670881339,0.208597670881339,0.260442581460688,5.396077150394267E-002,0.207406094963531,0.454454059107065,1.16936256483796 
 01/02  09:00:00,1.16430655791825,8.44616830135187,0.000000000000000E+000,7.28385012444019,0.195028528206645,0.195028528206645,0.195028528206645,0.249359925737781,5.166457058390340E-002,0.268690864190452,0.384214656921069,1.13585200841024 
 01/02  10:00:00,0.992004361042371,7.24682878732295,0.000000000000000E+000,6.19103439101777,0.165767870663005,0.165767870663005,0.165767870663005,0.127450643996854,2.640633195888867E-002,0.330033759705594,0.326997742439629,1.03326954673187 
 01/02  11:00:00,0.997215900447863,7.47805726121224,0.000000000000000E+000,6.54343419014741,0.175203541769686,0.175203541769686,0.175203541769686,0.105285332551039,2.181393011881013E-002,0.344876895795482,0.334688187934444,0.911568474323782 
 01/02  12:00:00,0.961852464807012,5.43810171439195,0.000000000000000E+000,4.61222292885670,0.123494447882396,0.123494447882396,0.123494447882396,0.105285332551039,2.181393011881013E-002,0.361120014768658,0.334790727207709,0.802817125498628 
 01/02  13:00:00,0.915436768960693,4.17637379629886,0.000000000000000E+000,3.43568807948799,9.199217145769469E-002,9.199217145769469E-002,9.199217145769469E-002,0.105285332551039,2.181393011881013E-002,0.351846255376571,0.329151067178176,0.718012538030615 
 01/02  14:00:00,0.874956917693232,3.45950910997241,0.000000000000000E+000,2.76852925986971,7.412867887515982E-002,7.412867887515982E-002,7.412867887515982E-002,0.105285332551039,2.181393011881013E-002,0.317848037359318,0.340532926510507,0.667522645514147 
 01/02  15:00:00,0.869259649391572,3.17336307976782,0.000000000000000E+000,2.53115226316660,6.777279764391640E-002,6.777279764391640E-002,6.777279764391640E-002,0.110826626018020,2.296203770497546E-002,0.292642405135342,0.359707770610917,0.617432775741056 
 01/02  16:00:00,0.936971727640949,3.33221633850755,0.000000000000000E+000,2.68234653619671,7.182109573332840E-002,7.182109573332840E-002,7.182109573332840E-002,0.138533299719761,2.870253287892793E-002,0.302863858133087,0.379702928897442,0.623714418814472 
 01/02  17:00:00,1.19065644225945,4.13262095960321,0.000000000000000E+000,3.41765087782676,9.150921686186242E-002,9.150921686186242E-002,9.150921686186242E-002,0.232735907758947,4.822026207769880E-002,0.353721026385214,0.449122016897326,0.684032847179079 
 01/02  18:00:00,1.66483458806882,5.96814962756124,0.000000000000000E+000,5.11770505912208,0.137028970726246,0.137028970726246,0.137028970726246,0.432223917138118,8.955192139527980E-002,0.445070293491817,0.545611473038965,0.812860772710273 
 01/02  19:00:00,1.92953249373619,5.36305329998837,0.000000000000000E+000,4.39046436694416,0.117556757621320,0.117556757621320,0.117556757621320,0.642794513451249,0.133179781632900,0.398284023104866,0.592369381647454,0.931784274535332 
 01/02  20:00:00,1.88502903753024,5.47844695023444,0.000000000000000E+000,4.48518155621304,0.120092855111436,0.120092855111436,0.120092855111436,0.681583842875899,0.141216491979183,0.315346148810717,0.611441686474602,0.951146962536472 
 01/02  21:00:00,1.76370442477460,5.81445369294684,0.000000000000000E+000,4.89026282703341,0.130939097511056,0.130939097511056,0.130939097511056,0.587381166047768,0.121698762780412,0.275875148663200,0.632462237493769,0.880624458836598 
 01/02  22:00:00,1.62751850564979,6.09473295176238,0.000000000000000E+000,5.25749191901003,0.140771829939549,0.140771829939549,0.140771829939549,0.493178558008581,0.102181033581641,0.258342489697899,0.617696582143720,0.794691740237600 
 01/02  23:00:00,1.35546371922020,6.35243619055497,0.000000000000000E+000,5.65836399226610,0.151505369085824,0.151505369085824,0.151505369085824,0.371269276267653,7.692280920891813E-002,0.205881020852975,0.534537231526429,0.657251238481545 
 01/02  24:00:00,1.08649992507172,6.62891949944627,0.000000000000000E+000,6.08818943017709,0.163014148249233,0.163014148249233,0.163014148249233,0.254901287993707,5.281267817006874E-002,0.135920890493347,0.464502907886960,0.508733340336305 
 01/03  01:00:00,0.822634209619674,6.95687360767221,0.000000000000000E+000,6.57900072875687,0.176155852643729,0.176155852643729,0.176155852643729,0.132991937463835,2.755443954505400E-002,8.636931076758889E-002,0.384214656921069,0.351406710413896 
